loop,domain,checks,result,detail
30,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
31,d1_release_cleaner,8,PASS,
32,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
33,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
34,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
35,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
36,d6_theme_contrast,19,PASS,dunkel_oled_kontrastarm.json: 
37,d7_icon_targets,1,PASS,views/budget_adjustment_dialog.py: 
38,d8_scaling,1,PASS,views/budget_adjustment_dialog.py: setFixedSize auf Dialog
39,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
40,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
41,d1_release_cleaner,8,PASS,
42,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
43,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
44,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
45,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
46,d6_theme_contrast,19,PASS,dunkel_warm_sepia.json: 
47,d7_icon_targets,1,PASS,views/budget_entry_dialog_extended.py: 
48,d8_scaling,1,PASS,views/budget_entry_dialog_extended.py: setFixedSize auf Dialog
49,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
50,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
51,d1_release_cleaner,8,PASS,
52,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
53,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
54,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
55,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
56,d6_theme_contrast,19,PASS,gruvbox_dunkel.json: 
57,d7_icon_targets,1,PASS,views/budget_fill_dialog.py: 
58,d8_scaling,1,PASS,views/budget_fill_dialog.py: setFixedSize auf Dialog
59,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
60,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
61,d1_release_cleaner,8,PASS,
62,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
63,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
64,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
65,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
66,d6_theme_contrast,19,PASS,gruvbox_hell.json: 
67,d7_icon_targets,1,PASS,views/category_delete_dialog.py: 
68,d8_scaling,1,PASS,views/category_delete_dialog.py: setFixedSize auf Dialog
69,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
70,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
71,d1_release_cleaner,8,PASS,
72,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
73,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
74,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
75,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
76,d6_theme_contrast,19,PASS,hell_grn.json: 
77,d7_icon_targets,1,PASS,views/category_excel_io.py: 
78,d8_scaling,1,PASS,views/category_excel_io.py: setFixedSize auf Dialog
79,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
80,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
81,d1_release_cleaner,8,PASS,
82,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
83,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
84,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
85,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
86,d6_theme_contrast,19,PASS,hell_warm_sepia.json: 
87,d7_icon_targets,1,PASS,views/category_manager_dialog.py: 
88,d8_scaling,1,PASS,views/category_manager_dialog.py: setFixedSize auf Dialog
89,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
90,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
91,d1_release_cleaner,8,PASS,
92,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
93,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
94,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
95,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
96,d6_theme_contrast,19,PASS,kontrast_schwarzwei.json: 
97,d7_icon_targets,1,PASS,views/category_picker.py: 
98,d8_scaling,1,PASS,views/category_picker.py: setFixedSize auf Dialog
99,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
100,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
101,d1_release_cleaner,8,PASS,
102,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
103,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
104,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
105,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
106,d6_theme_contrast,19,PASS,modern_cyan_v2.json: 
107,d7_icon_targets,1,PASS,views/category_properties_dialog.py: 
108,d8_scaling,1,PASS,views/category_properties_dialog.py: setFixedSize auf Dialog
109,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
110,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
111,d1_release_cleaner,8,PASS,
112,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
113,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
114,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
115,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
116,d6_theme_contrast,19,PASS,monokai_dunkel.json: 
117,d7_icon_targets,1,PASS,views/copy_year_dialog.py: 
118,d8_scaling,1,PASS,views/copy_year_dialog.py: setFixedSize auf Dialog
119,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
120,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
121,d1_release_cleaner,8,PASS,
122,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
123,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
124,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
125,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
126,d6_theme_contrast,19,PASS,nord_dunkel.json: 
127,d7_icon_targets,1,PASS,views/database_management_dialog.py: 
128,d8_scaling,1,PASS,views/database_management_dialog.py: setFixedSize auf Dialog
129,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
130,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
131,d1_release_cleaner,8,PASS,
132,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
133,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
134,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
135,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
136,d6_theme_contrast,19,PASS,ocean_dunkel.json: 
137,d7_icon_targets,1,PASS,views/delegates/badge_delegate.py: 
138,d8_scaling,1,PASS,views/delegates/badge_delegate.py: setFixedSize auf Dialog
139,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
140,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
141,d1_release_cleaner,8,PASS,
142,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
143,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
144,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
145,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
146,d6_theme_contrast,19,PASS,pastell_sanft.json: 
147,d7_icon_targets,1,PASS,views/export_dialog.py: 
148,d8_scaling,1,PASS,views/export_dialog.py: setFixedSize auf Dialog
149,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
150,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
151,d1_release_cleaner,8,PASS,
152,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
153,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
154,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
155,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
156,d6_theme_contrast,19,PASS,solarized_dunkel.json: 
157,d7_icon_targets,1,PASS,views/favorites_dashboard_dialog.py: 
158,d8_scaling,1,PASS,views/favorites_dashboard_dialog.py: setFixedSize auf Dialog
159,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
160,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
161,d1_release_cleaner,8,PASS,
162,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
163,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
164,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
165,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
166,d6_theme_contrast,19,PASS,solarized_hell.json: 
167,d7_icon_targets,1,PASS,views/global_search_dialog.py: 
168,d8_scaling,1,PASS,views/global_search_dialog.py: setFixedSize auf Dialog
169,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
170,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
171,d1_release_cleaner,8,PASS,
172,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
173,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
174,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
175,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
176,d6_theme_contrast,19,PASS,standard_dunkel.json: 
177,d7_icon_targets,1,PASS,views/help_content.py: 
178,d8_scaling,1,PASS,views/help_content.py: setFixedSize auf Dialog
179,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
180,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
181,d1_release_cleaner,8,PASS,
182,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
183,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
184,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
185,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
186,d6_theme_contrast,19,PASS,standard_hell.json: 
187,d7_icon_targets,1,PASS,views/help_content_additions.py: 
188,d8_scaling,1,PASS,views/help_content_additions.py: setFixedSize auf Dialog
189,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
190,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
191,d1_release_cleaner,8,PASS,
192,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
193,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
194,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
195,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
196,d6_theme_contrast,19,PASS,v2_dunkel_graphite_cyan.json: 
197,d7_icon_targets,1,PASS,views/help_dialog.py: 
198,d8_scaling,1,PASS,views/help_dialog.py: setFixedSize auf Dialog
199,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
200,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
201,d1_release_cleaner,8,PASS,
202,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
203,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
204,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
205,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
206,d6_theme_contrast,19,PASS,v2_dunkel_purple_night.json: 
207,d7_icon_targets,1,PASS,views/help_launcher.py: 
208,d8_scaling,1,PASS,views/help_launcher.py: setFixedSize auf Dialog
209,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
210,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
211,d1_release_cleaner,8,PASS,
212,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
213,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
214,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
215,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
216,d6_theme_contrast,19,PASS,v2_hell_neon_cyan.json: 
217,d7_icon_targets,1,PASS,views/help_menu.py: 
218,d8_scaling,1,PASS,views/help_menu.py: setFixedSize auf Dialog
219,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
220,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
221,d1_release_cleaner,8,PASS,
222,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
223,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
224,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
225,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
226,d6_theme_contrast,19,PASS,v2_hell_pastel_mint.json: 
227,d7_icon_targets,1,PASS,views/language_select_dialog.py: 
228,d8_scaling,1,PASS,views/language_select_dialog.py: setFixedSize auf Dialog
229,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
230,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
231,d1_release_cleaner,8,PASS,
232,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
233,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
234,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
235,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
236,d6_theme_contrast,19,PASS,v2_hell_warm_sand.json: 
237,d7_icon_targets,1,PASS,views/login_dialog.py: 
238,d8_scaling,1,PASS,views/login_dialog.py: setFixedSize auf Dialog
239,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
240,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
241,d1_release_cleaner,8,PASS,
242,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
243,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
244,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
245,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
246,d6_theme_contrast,19,PASS,warm_hell.json: 
247,d7_icon_targets,1,PASS,views/main_window.py: 
248,d8_scaling,1,PASS,views/main_window.py: setFixedSize auf Dialog
249,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
250,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
251,d1_release_cleaner,8,PASS,
252,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
253,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
254,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
255,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
256,d6_theme_contrast,19,PASS,dracula_dunkel.json: 
257,d7_icon_targets,1,PASS,views/main_window_dialogs.py: 
258,d8_scaling,1,PASS,views/main_window_dialogs.py: setFixedSize auf Dialog
259,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
260,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
261,d1_release_cleaner,8,PASS,
262,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
263,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
264,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
265,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
266,d6_theme_contrast,19,PASS,dunkel_blau.json: 
267,d7_icon_targets,1,PASS,views/month_close_dialog.py: 
268,d8_scaling,1,PASS,views/month_close_dialog.py: setFixedSize auf Dialog
269,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
270,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
271,d1_release_cleaner,8,PASS,
272,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
273,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
274,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
275,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
276,d6_theme_contrast,19,PASS,dunkel_grn.json: 
277,d7_icon_targets,1,PASS,views/quick_add_dialog.py: 
278,d8_scaling,1,PASS,views/quick_add_dialog.py: setFixedSize auf Dialog
279,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
280,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
281,d1_release_cleaner,8,PASS,
282,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
283,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
284,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
285,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
286,d6_theme_contrast,19,PASS,dunkel_oled_kontrastarm.json: 
287,d7_icon_targets,1,PASS,views/reauth.py: 
288,d8_scaling,1,PASS,views/reauth.py: setFixedSize auf Dialog
289,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
290,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
291,d1_release_cleaner,8,PASS,
292,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
293,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
294,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
295,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
296,d6_theme_contrast,19,PASS,dunkel_warm_sepia.json: 
297,d7_icon_targets,1,PASS,views/recurring_bookings_dialog.py: 
298,d8_scaling,1,PASS,views/recurring_bookings_dialog.py: setFixedSize auf Dialog
299,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
300,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
301,d1_release_cleaner,8,PASS,
302,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
303,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
304,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
305,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
306,d6_theme_contrast,19,PASS,gruvbox_dunkel.json: 
307,d7_icon_targets,1,PASS,views/restore_key_dialog.py: 
308,d8_scaling,1,PASS,views/restore_key_dialog.py: setFixedSize auf Dialog
309,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
310,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
311,d1_release_cleaner,8,PASS,
312,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
313,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
314,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
315,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
316,d6_theme_contrast,19,PASS,gruvbox_hell.json: 
317,d7_icon_targets,1,PASS,views/savings_goal_messages.py: 
318,d8_scaling,1,PASS,views/savings_goal_messages.py: setFixedSize auf Dialog
319,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
320,d10_keyboard_navigation,2,PASS,13/13 komplexe Dialogdateien mit expliziter Tab-Kette
321,d1_release_cleaner,8,PASS,
322,d2_prefilled_focus,2,PASS,Vorbefüllte Felder dürfen nicht komplett markiert werden
323,d3_form_accessibility,1,WARN,Qt-freie Kernprüfung: Formularlabel-Ableitung vorhanden
324,d4_destructive_metadata,2,WARN,Qt-freie Kernprüfung: destruktive Metadatenkette vorhanden
325,d5_language_consistency,5,PASS,Live-Sprachwechsel würde gemischte UI erzeugen
326,d6_theme_contrast,19,PASS,hell_grn.json: 
327,d7_icon_targets,1,PASS,views/savings_goals_dialog.py: 
328,d8_scaling,1,PASS,views/savings_goals_dialog.py: setFixedSize auf Dialog
329,d9_modal_load,2,PASS,"0 modale Informationen, 0 passive Warnungen, 93 Sicherheits-/Fehlerdialoge bewusst modal"
