loop,domain,checks,status,detail
86,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
87,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
88,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
89,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
90,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
91,d1_sql_surface,40,PASS,category_forecast_mode.py: SQL-Oberfläche sauber
92,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
93,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
94,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
95,d5_due_clamp,10,PASS,2028 (leap=True): Ultimo-Klemmung + Semantik ok
96,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
97,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
98,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
99,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
100,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
101,d1_sql_surface,40,PASS,category_model.py: SQL-Oberfläche sauber
102,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
103,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
104,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
105,d5_due_clamp,10,PASS,2024 (leap=True): Ultimo-Klemmung + Semantik ok
106,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
107,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
108,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
109,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
110,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
111,d1_sql_surface,40,PASS,coverage_model.py: SQL-Oberfläche sauber
112,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
113,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
114,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
115,d5_due_clamp,10,PASS,2025 (leap=False): Ultimo-Klemmung + Semantik ok
116,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
117,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
118,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
119,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
120,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
121,d1_sql_surface,40,PASS,crypto.py: SQL-Oberfläche sauber
122,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
123,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
124,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
125,d5_due_clamp,10,PASS,2026 (leap=False): Ultimo-Klemmung + Semantik ok
126,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
127,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
128,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
129,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
130,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
131,d1_sql_surface,40,PASS,data_location.py: SQL-Oberfläche sauber
132,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
133,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
134,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
135,d5_due_clamp,10,PASS,2027 (leap=False): Ultimo-Klemmung + Semantik ok
136,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
137,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
138,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
139,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
140,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
141,d1_sql_surface,40,PASS,database.py: SQL-Oberfläche sauber
142,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
143,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
144,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
145,d5_due_clamp,10,PASS,2028 (leap=True): Ultimo-Klemmung + Semantik ok
146,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
147,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
148,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
149,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
150,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
151,d1_sql_surface,40,PASS,database_management_model.py: SQL-Oberfläche sauber
152,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
153,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
154,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
155,d5_due_clamp,10,PASS,2024 (leap=True): Ultimo-Klemmung + Semantik ok
156,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
157,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
158,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
159,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
160,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
161,d1_sql_surface,40,PASS,date_ranges.py: SQL-Oberfläche sauber
162,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
163,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
164,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
165,d5_due_clamp,10,PASS,2025 (leap=False): Ultimo-Klemmung + Semantik ok
166,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
167,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
168,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
169,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
170,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
171,d1_sql_surface,40,PASS,default_categories.py: SQL-Oberfläche sauber
172,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
173,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
174,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
175,d5_due_clamp,10,PASS,2026 (leap=False): Ultimo-Klemmung + Semantik ok
176,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
177,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
178,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
179,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
180,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
181,d1_sql_surface,40,PASS,diagnostics.py: SQL-Oberfläche sauber
182,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
183,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
184,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
185,d5_due_clamp,10,PASS,2027 (leap=False): Ultimo-Klemmung + Semantik ok
186,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
187,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
188,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
189,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
190,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
191,d1_sql_surface,40,PASS,favorites_model.py: SQL-Oberfläche sauber
192,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
193,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
194,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
195,d5_due_clamp,10,PASS,2028 (leap=True): Ultimo-Klemmung + Semantik ok
196,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
197,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
198,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
199,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
200,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
201,d1_sql_surface,40,PASS,file_permissions.py: SQL-Oberfläche sauber
202,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
203,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
204,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
205,d5_due_clamp,10,PASS,2024 (leap=True): Ultimo-Klemmung + Semantik ok
206,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
207,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
208,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
209,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
210,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
211,d1_sql_surface,40,PASS,fixed_cost_due.py: SQL-Oberfläche sauber
212,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
213,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
214,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
215,d5_due_clamp,10,PASS,2025 (leap=False): Ultimo-Klemmung + Semantik ok
216,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
217,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
218,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
219,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
220,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
221,d1_sql_surface,40,PASS,income_specials.py: SQL-Oberfläche sauber
222,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
223,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
224,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
225,d5_due_clamp,10,PASS,2026 (leap=False): Ultimo-Klemmung + Semantik ok
226,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
227,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
228,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
229,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
230,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
231,d1_sql_surface,40,PASS,logging_config.py: SQL-Oberfläche sauber
232,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
233,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
234,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
235,d5_due_clamp,10,PASS,2027 (leap=False): Ultimo-Klemmung + Semantik ok
236,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
237,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
238,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
239,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
240,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
241,d1_sql_surface,40,PASS,migrations.py: SQL-Oberfläche sauber
242,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
243,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
244,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
245,d5_due_clamp,10,PASS,2028 (leap=True): Ultimo-Klemmung + Semantik ok
246,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
247,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
248,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
249,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
250,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
251,d1_sql_surface,40,PASS,month_close_model.py: SQL-Oberfläche sauber
252,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
253,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
254,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
255,d5_due_clamp,10,PASS,2024 (leap=True): Ultimo-Klemmung + Semantik ok
256,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
257,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
258,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
259,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
260,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
261,d1_sql_surface,40,PASS,month_status.py: SQL-Oberfläche sauber
262,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
263,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
264,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
265,d5_due_clamp,10,PASS,2025 (leap=False): Ultimo-Klemmung + Semantik ok
266,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
267,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
268,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
269,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
270,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
271,d1_sql_surface,40,PASS,overview_aggregation.py: SQL-Oberfläche sauber
272,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
273,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
274,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
275,d5_due_clamp,10,PASS,2026 (leap=False): Ultimo-Klemmung + Semantik ok
276,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
277,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
278,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
279,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
280,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
281,d1_sql_surface,40,PASS,pot_reserve_model.py: SQL-Oberfläche sauber
282,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
283,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
284,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
285,d5_due_clamp,10,PASS,2027 (leap=False): Ultimo-Klemmung + Semantik ok
286,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
287,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
288,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
289,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
290,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
291,d1_sql_surface,40,PASS,process_utils.py: SQL-Oberfläche sauber
292,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
293,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
294,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
295,d5_due_clamp,10,PASS,2028 (leap=True): Ultimo-Klemmung + Semantik ok
296,d6_migration_idempotent,3,PASS,"user_version=0, Schema stabil über 2 Läufe"
297,d7_bundle_tamper,2,PASS,Member=database.db; Byte-Flip abgelehnt (Pruefsumme stimmt nicht – Backup beschaedigt oder veraendert)
298,d8_i18n_format_safety,100,PASS,20 Keys ×3 format-sicher
299,d9_modal_info_load,2,PASS,0 modale Infos; Toast-Regressionsschutz intakt
300,d10_taborder_decl,1,PASS,13/13 komplexe Dialogdateien mit Tab-Ketten
301,d1_sql_surface,40,PASS,recurring_transactions_model.py: SQL-Oberfläche sauber
302,d2_privacy_sanitize,4,PASS,"HOME→<home> rekursiv (posix+win), Resttext intakt"
303,d3_file_permissions,3,PASS,"0644→0600 real gesetzt, Erkennung korrekt"
304,d4_money_format,28,PASS,normalize+Gruppierung(4 Formate)+Vorzeichen/Symbol stabil
305,d5_due_clamp,10,PASS,2024 (leap=True): Ultimo-Klemmung + Semantik ok
